,pred_hy
106,"[65, 62, 17]"
107,"[40, 48, 43]"
108,"[58, 19, 38]"
109,"[40, 48, 54]"
110,"[48, 40, 54]"
111,"[40, 48, 54]"
112,"[40, 34, 55]"
113,"[56, 35, 60]"
114,"[40, 48, 19]"
115,"[40, 48, 19]"
116,"[48, 40, 19]"
117,"[56, 40, 19]"
118,"[49, 55, 57]"
119,"[57, 42, 61]"
120,"[17, 52, 61]"
121,"[40, 62, 39]"
122,"[59, 52, 38]"
123,"[48, 35, 60]"
124,"[19, 61, 54]"
125,"[40, 33, 19]"
126,"[16, 58, 52]"
127,"[56, 27, 52]"
128,"[54, 19, 62]"
129,"[54, 19, 62]"
130,"[54, 19, 62]"
131,"[62, 19, 54]"
132,"[54, 19, 62]"
133,"[48, 57, 35]"
134,"[57, 19, 38]"
135,"[58, 13, 38]"
136,"[24, 52, 60]"
137,"[52, 60, 23]"
138,"[33, 53, 62]"
139,"[56, 33, 13]"
140,"[60, 23, 63]"
141,"[60, 23, 63]"
142,"[38, 62, 47]"
143,"[38, 35, 62]"
144,"[34, 52, 38]"
145,"[40, 53, 62]"
146,"[57, 34, 60]"
147,"[12, 61, 55]"
148,"[40, 48, 13]"
149,"[40, 48, 13]"
150,"[27, 60, 61]"
151,"[27, 60, 61]"
152,"[0, 61, 55]"
153,"[48, 60, 39]"
154,"[58, 62, 31]"
155,"[15, 61, 55]"
156,"[15, 61, 55]"
157,"[24, 57, 52]"
158,"[24, 57, 52]"
159,"[56, 49, 55]"
160,"[56, 49, 55]"
161,"[56, 49, 55]"
162,"[28, 62, 55]"
163,"[62, 13, 54]"
164,"[58, 19, 54]"
165,"[0, 58, 63]"
166,"[48, 42, 61]"
167,"[48, 19, 38]"
168,"[56, 42, 61]"
169,"[48, 59, 60]"
170,"[40, 51, 31]"
171,"[40, 51, 31]"
172,"[48, 57, 39]"
173,"[48, 57, 39]"
174,"[48, 57, 39]"
175,"[19, 13, 62]"
176,"[19, 13, 62]"
177,"[19, 13, 62]"
178,"[33, 58, 59]"
179,"[35, 54, 55]"
180,"[35, 54, 55]"
181,"[48, 33, 22]"
182,"[50, 61, 55]"
183,"[33, 58, 53]"
184,"[57, 27, 61]"
185,"[57, 42, 58]"
186,"[49, 55, 33]"
187,"[19, 60, 54]"
188,"[56, 33, 35]"
189,"[25, 58, 61]"
190,"[48, 27, 55]"
191,"[56, 40, 35]"
192,"[38, 62, 39]"
193,"[38, 62, 39]"
194,"[33, 59, 60]"
195,"[33, 59, 60]"
196,"[36, 63, 55]"
197,"[48, 34, 60]"
198,"[40, 49, 55]"
199,"[48, 57, 53]"
200,"[40, 59, 60]"
201,"[56, 13, 38]"
202,"[56, 34, 60]"
203,"[38, 59, 62]"
204,"[16, 57, 52]"
205,"[48, 31, 55]"
206,"[52, 29, 38]"
207,"[40, 33, 35]"
208,"[40, 33, 35]"
209,"[61, 46, 55]"
210,"[40, 27, 55]"
211,"[40, 34, 60]"
212,"[54, 35, 62]"
213,"[60, 52, 15]"
214,"[52, 60, 15]"
215,"[56, 31, 55]"
216,"[56, 57, 34]"
217,"[19, 61, 47]"
218,"[46, 62, 55]"
219,"[25, 61, 57]"
220,"[48, 27, 61]"
221,"[19, 60, 13]"
222,"[38, 34, 62]"
223,"[40, 48, 39]"
224,"[40, 48, 39]"
225,"[48, 40, 39]"
226,"[56, 37, 55]"
227,"[56, 37, 55]"
228,"[58, 61, 23]"
229,"[40, 49, 61]"
230,"[48, 56, 53]"
231,"[52, 13, 39]"
232,"[52, 13, 39]"
233,"[48, 19, 54]"
234,"[48, 19, 54]"
235,"[48, 19, 54]"
236,"[48, 19, 54]"
237,"[24, 48, 52]"
238,"[33, 43, 54]"
239,"[33, 43, 54]"
240,"[33, 43, 54]"
241,"[17, 62, 55]"
242,"[33, 42, 58]"
243,"[56, 35, 38]"
244,"[48, 38, 47]"
245,"[40, 43, 54]"
246,"[40, 43, 54]"
247,"[56, 38, 47]"
248,"[58, 62, 23]"
249,"[58, 62, 23]"
250,"[56, 38, 22]"
251,"[56, 38, 22]"
252,"[56, 38, 22]"
253,"[33, 19, 54]"
254,"[40, 27, 61]"
255,"[40, 27, 61]"
256,"[48, 33, 53]"
257,"[48, 33, 53]"
258,"[26, 61, 55]"
259,"[26, 61, 55]"
260,"[40, 19, 54]"
261,"[40, 19, 54]"
262,"[58, 53, 38]"
263,"[58, 53, 38]"
264,"[58, 53, 38]"
265,"[27, 52, 38]"
266,"[27, 52, 38]"
267,"[48, 60, 29]"
268,"[48, 60, 29]"
269,"[48, 60, 29]"
270,"[13, 62, 22]"
271,"[13, 62, 22]"
272,"[33, 42, 60]"
273,"[48, 62, 31]"
274,"[48, 57, 42]"
275,"[48, 40, 53]"
276,"[48, 40, 53]"
277,"[48, 40, 53]"
278,"[60, 61, 23]"
279,"[60, 61, 23]"
280,"[60, 54, 22]"
281,"[60, 54, 47]"
282,"[59, 60, 38]"
283,"[59, 60, 38]"
284,"[33, 38, 22]"
285,"[64, 26, 58]"
286,"[57, 58, 31]"
287,"[62, 54, 39]"
288,"[58, 19, 47]"
289,"[40, 42, 60]"
290,"[48, 33, 34]"
291,"[40, 52, 23]"
292,"[40, 52, 23]"
293,"[26, 52, 58]"
294,"[24, 33, 52]"
295,"[24, 33, 52]"
296,"[40, 48, 34]"
297,"[41, 52, 60]"
298,"[41, 60, 52]"
299,"[40, 33, 59]"
300,"[40, 33, 59]"
301,"[40, 33, 59]"
302,"[33, 60, 29]"
303,"[33, 60, 29]"
304,"[48, 57, 29]"
305,"[60, 62, 23]"
306,"[58, 62, 30]"
307,"[58, 62, 30]"
308,"[48, 13, 54]"
309,"[40, 33, 53]"
310,"[40, 33, 53]"
311,"[56, 37, 61]"
312,"[57, 54, 47]"
313,"[28, 60, 55]"
314,"[56, 19, 13]"
315,"[56, 19, 13]"
316,"[56, 19, 13]"
317,"[50, 58, 55]"
318,"[50, 58, 55]"
319,"[50, 58, 55]"
320,"[40, 61, 31]"
321,"[40, 61, 31]"
322,"[38, 42, 62]"
323,"[19, 62, 39]"
324,"[57, 44, 52]"
325,"[56, 58, 27]"
326,"[40, 43, 13]"
327,"[40, 33, 34]"
328,"[40, 13, 54]"
329,"[40, 13, 54]"
330,"[40, 13, 54]"
331,"[46, 61, 62]"
332,"[46, 61, 62]"
333,"[25, 58, 57]"
334,"[16, 33, 52]"
335,"[57, 19, 47]"
336,"[24, 48, 55]"
337,"[62, 53, 54]"
338,"[62, 53, 54]"
339,"[54, 53, 62]"
340,"[35, 52, 39]"
341,"[38, 29, 62]"
342,"[48, 38, 39]"
343,"[56, 38, 39]"
344,"[40, 19, 13]"
345,"[40, 19, 13]"
346,"[48, 23, 55]"
347,"[65, 11, 62]"
348,"[65, 11, 62]"
349,"[56, 49, 57]"
350,"[58, 45, 55]"
351,"[33, 58, 27]"
352,"[56, 27, 60]"
353,"[56, 27, 60]"
354,"[56, 27, 60]"
355,"[26, 52, 60]"
356,"[54, 34, 62]"
357,"[19, 53, 62]"
358,"[16, 60, 62]"
359,"[16, 60, 62]"
360,"[11, 51, 61]"
361,"[60, 13, 22]"
362,"[60, 13, 47]"
363,"[58, 46, 55]"
364,"[48, 54, 47]"
365,"[0, 56, 63]"
366,"[17, 61, 62]"
367,"[60, 54, 39]"
368,"[0, 57, 55]"
369,"[13, 62, 39]"
370,"[13, 62, 39]"
371,"[58, 12, 61]"
372,"[56, 28, 52]"
373,"[56, 59, 38]"
374,"[56, 59, 38]"
375,"[57, 62, 30]"
376,"[58, 19, 39]"
377,"[34, 19, 61]"
378,"[34, 19, 61]"
379,"[11, 52, 61]"
380,"[0, 58, 62]"
381,"[0, 58, 62]"
382,"[48, 33, 42]"
383,"[48, 33, 42]"
384,"[48, 53, 38]"
385,"[38, 49, 62]"
386,"[48, 57, 27]"
387,"[48, 57, 27]"
388,"[48, 57, 27]"
389,"[58, 59, 54]"
390,"[40, 49, 57]"
391,"[40, 49, 57]"
392,"[40, 49, 57]"
393,"[58, 42, 38]"
394,"[42, 58, 38]"
395,"[42, 58, 38]"
396,"[48, 60, 31]"
397,"[48, 60, 31]"
398,"[65, 62, 6]"
399,"[65, 62, 6]"
400,"[65, 62, 6]"
401,"[65, 62, 6]"
402,"[65, 62, 6]"
403,"[11, 51, 62]"
404,"[11, 51, 62]"
405,"[19, 60, 39]"
406,"[33, 59, 38]"
407,"[16, 48, 55]"
408,"[58, 53, 54]"
409,"[28, 61, 60]"
410,"[48, 19, 35]"
411,"[40, 58, 31]"
412,"[40, 58, 31]"
413,"[0, 60, 61]"
414,"[56, 16, 55]"
415,"[56, 16, 55]"
416,"[35, 39, 55]"
417,"[35, 55, 39]"
418,"[35, 60, 13]"
419,"[48, 33, 29]"
420,"[19, 58, 59]"
421,"[19, 58, 59]"
422,"[56, 33, 29]"
423,"[59, 60, 54]"
424,"[59, 60, 54]"
425,"[33, 35, 54]"
426,"[48, 34, 38]"
427,"[58, 29, 38]"
428,"[58, 29, 38]"
429,"[32, 58, 61]"
430,"[64, 57, 26]"
431,"[33, 19, 22]"
432,"[33, 19, 22]"
433,"[40, 48, 29]"
434,"[40, 48, 29]"
435,"[40, 48, 29]"
436,"[40, 35, 54]"
437,"[17, 58, 55]"
438,"[40, 33, 42]"
439,"[24, 48, 61]"
440,"[51, 36, 62]"
441,"[51, 36, 62]"
442,"[33, 28, 52]"
443,"[11, 52, 62]"
444,"[38, 13, 54]"
445,"[54, 13, 38]"
446,"[20, 61, 55]"
447,"[40, 57, 27]"
448,"[53, 13, 62]"
449,"[13, 53, 62]"
450,"[13, 53, 62]"
451,"[60, 53, 54]"
452,"[19, 59, 60]"
453,"[19, 59, 60]"
454,"[48, 60, 37]"
455,"[40, 28, 52]"
456,"[57, 19, 39]"
457,"[57, 19, 39]"
458,"[1, 62, 63]"
459,"[19, 13, 38]"
460,"[27, 43, 52]"
461,"[27, 43, 52]"
462,"[34, 60, 54]"
463,"[40, 33, 29]"
464,"[26, 58, 55]"
465,"[26, 58, 55]"
466,"[48, 13, 22]"
467,"[48, 13, 47]"
468,"[48, 13, 47]"
469,"[16, 58, 60]"
470,"[16, 58, 60]"
471,"[65, 21, 62]"
472,"[35, 60, 47]"
473,"[35, 60, 47]"
474,"[56, 49, 40]"
475,"[57, 28, 61]"
476,"[64, 62, 6]"
477,"[49, 54, 55]"
478,"[56, 48, 27]"
479,"[56, 48, 27]"
480,"[48, 56, 27]"
481,"[60, 13, 39]"
482,"[58, 45, 61]"
483,"[0, 57, 61]"
484,"[58, 60, 30]"
485,"[19, 27, 52]"
486,"[48, 54, 39]"
487,"[48, 57, 37]"
488,"[48, 57, 37]"
489,"[48, 57, 37]"
490,"[48, 57, 37]"
491,"[51, 54, 31]"
492,"[40, 61, 23]"
493,"[40, 61, 23]"
494,"[40, 57, 31]"
495,"[40, 57, 31]"
496,"[57, 19, 53]"
497,"[57, 19, 53]"
498,"[58, 61, 46]"
499,"[42, 19, 61]"
500,"[24, 40, 61]"
501,"[33, 13, 22]"
502,"[57, 28, 62]"
503,"[57, 28, 62]"
504,"[40, 60, 37]"
505,"[33, 62, 23]"
506,"[32, 60, 62]"
507,"[58, 45, 62]"
508,"[58, 45, 62]"
509,"[58, 59, 13]"
510,"[34, 19, 60]"
511,"[59, 52, 39]"
512,"[40, 13, 22]"
513,"[40, 13, 22]"
514,"[40, 13, 22]"
515,"[0, 56, 55]"
516,"[0, 56, 55]"
517,"[56, 12, 55]"
518,"[52, 38, 23]"
519,"[52, 38, 23]"
520,"[54, 29, 62]"
521,"[50, 60, 62]"
522,"[56, 35, 13]"
523,"[0, 57, 62]"
524,"[56, 28, 55]"
525,"[56, 28, 55]"
526,"[56, 28, 55]"
527,"[56, 28, 55]"
528,"[40, 49, 33]"
529,"[40, 33, 49]"
530,"[57, 22, 47]"
531,"[57, 22, 47]"
532,"[57, 13, 39]"
533,"[57, 13, 39]"
534,"[48, 25, 57]"
535,"[48, 57, 25]"
536,"[48, 25, 57]"
537,"[48, 33, 27]"
538,"[48, 33, 27]"
539,"[48, 33, 27]"
540,"[34, 35, 55]"
541,"[58, 13, 53]"
542,"[48, 19, 39]"
543,"[48, 19, 39]"
544,"[57, 58, 30]"
545,"[56, 19, 39]"
546,"[56, 19, 39]"
547,"[40, 54, 39]"
548,"[40, 54, 39]"
549,"[40, 54, 39]"
550,"[40, 54, 39]"
551,"[49, 19, 55]"
552,"[49, 19, 55]"
553,"[40, 56, 27]"
554,"[52, 53, 39]"
555,"[58, 27, 38]"
556,"[59, 60, 13]"
557,"[48, 59, 54]"
558,"[48, 59, 54]"
559,"[48, 59, 54]"
560,"[33, 44, 52]"
561,"[57, 34, 19]"
562,"[48, 41, 52]"
563,"[48, 41, 52]"
564,"[48, 41, 52]"
565,"[48, 42, 38]"
566,"[56, 42, 38]"
567,"[38, 35, 54]"
568,"[56, 48, 31]"
569,"[53, 60, 13]"
570,"[17, 55, 57]"
571,"[56, 41, 52]"
572,"[56, 41, 52]"
573,"[60, 61, 46]"
574,"[60, 61, 46]"
575,"[0, 33, 55]"
576,"[40, 19, 39]"
577,"[42, 52, 22]"
578,"[42, 52, 22]"
579,"[42, 52, 22]"
580,"[48, 19, 59]"
581,"[48, 59, 19]"
582,"[48, 19, 59]"
583,"[42, 52, 47]"
584,"[56, 19, 59]"
585,"[56, 59, 19]"
586,"[57, 50, 61]"
587,"[33, 28, 55]"
588,"[33, 28, 55]"
589,"[40, 33, 27]"
590,"[57, 60, 30]"
591,"[54, 49, 62]"
592,"[33, 59, 54]"
593,"[33, 59, 54]"
594,"[32, 48, 55]"
595,"[32, 48, 55]"
596,"[19, 38, 47]"
597,"[19, 38, 47]"
598,"[48, 33, 31]"
599,"[0, 58, 60]"
600,"[0, 40, 55]"
601,"[56, 19, 53]"
602,"[48, 19, 53]"
603,"[27, 52, 13]"
604,"[48, 34, 54]"
605,"[48, 34, 54]"
606,"[48, 34, 54]"
607,"[19, 27, 55]"
608,"[56, 50, 55]"
609,"[56, 50, 55]"
610,"[56, 50, 55]"
611,"[65, 5, 62]"
612,"[40, 59, 54]"
613,"[40, 59, 54]"
614,"[56, 29, 38]"
615,"[40, 48, 31]"
616,"[40, 48, 31]"
617,"[40, 43, 53]"
618,"[32, 56, 55]"
619,"[56, 32, 55]"
620,"[40, 62, 30]"
621,"[40, 62, 30]"
622,"[56, 48, 37]"
623,"[57, 50, 62]"
624,"[16, 52, 38]"
625,"[48, 35, 47]"
626,"[48, 13, 39]"
627,"[42, 13, 62]"
628,"[42, 60, 54]"
629,"[42, 19, 58]"
630,"[64, 26, 48]"
631,"[48, 26, 64]"
632,"[40, 19, 59]"
633,"[58, 12, 60]"
634,"[60, 39, 47]"
635,"[33, 19, 53]"
636,"[19, 13, 54]"
637,"[2, 51, 61]"
638,"[41, 60, 62]"
639,"[41, 60, 62]"
640,"[0, 56, 61]"
641,"[0, 56, 61]"
642,"[48, 26, 52]"
643,"[24, 48, 60]"
644,"[48, 24, 60]"
645,"[24, 48, 60]"
646,"[17, 60, 61]"
647,"[40, 19, 53]"
648,"[33, 29, 38]"
649,"[48, 34, 19]"
650,"[48, 34, 19]"
651,"[33, 35, 47]"
652,"[57, 45, 62]"
653,"[40, 58, 23]"
654,"[40, 58, 23]"
655,"[40, 33, 31]"
656,"[40, 33, 31]"
657,"[40, 33, 31]"
658,"[40, 33, 31]"
659,"[40, 34, 54]"
660,"[40, 41, 52]"
661,"[48, 45, 55]"
662,"[40, 35, 47]"
663,"[35, 58, 59]"
664,"[33, 50, 55]"
665,"[51, 13, 31]"
666,"[40, 13, 39]"
667,"[57, 58, 28]"
668,"[13, 29, 62]"
669,"[13, 38, 47]"
670,"[13, 38, 47]"
671,"[13, 38, 47]"
672,"[13, 38, 47]"
673,"[56, 49, 38]"
674,"[59, 60, 22]"
675,"[57, 22, 39]"
676,"[17, 60, 62]"
677,"[57, 58, 12]"
678,"[48, 40, 37]"
679,"[40, 48, 37]"
680,"[56, 59, 13]"
681,"[56, 59, 13]"
682,"[56, 59, 13]"
683,"[56, 45, 55]"
684,"[56, 45, 55]"
685,"[57, 39, 47]"
686,"[57, 47, 39]"
687,"[48, 12, 61]"
688,"[48, 12, 61]"
689,"[58, 35, 53]"
690,"[40, 56, 37]"
691,"[40, 56, 37]"
692,"[48, 61, 15]"
693,"[50, 58, 60]"
694,"[40, 50, 55]"
695,"[27, 19, 61]"
696,"[48, 57, 24]"
697,"[24, 57, 48]"
698,"[56, 13, 53]"
699,"[57, 42, 19]"
700,"[57, 42, 19]"
701,"[1, 61, 55]"
702,"[35, 59, 60]"
703,"[19, 60, 29]"
704,"[48, 46, 55]"
705,"[48, 13, 53]"
706,"[48, 53, 13]"
707,"[48, 53, 13]"
708,"[48, 13, 53]"
709,"[41, 62, 57]"
710,"[41, 62, 57]"
711,"[65, 2, 62]"
712,"[33, 38, 49]"
713,"[33, 38, 49]"
714,"[49, 38, 33]"
715,"[2, 61, 63]"
716,"[11, 61, 55]"
717,"[27, 13, 55]"
718,"[33, 28, 61]"
719,"[40, 17, 52]"
720,"[40, 17, 52]"
721,"[0, 40, 61]"
722,"[48, 33, 25]"
723,"[57, 59, 47]"
724,"[57, 59, 47]"
725,"[57, 59, 47]"
726,"[35, 60, 53]"
727,"[35, 60, 53]"
728,"[35, 60, 53]"
729,"[35, 60, 53]"
730,"[33, 59, 13]"
731,"[54, 62, 31]"
732,"[40, 33, 37]"
733,"[40, 33, 37]"
734,"[40, 33, 37]"
735,"[40, 28, 61]"
736,"[25, 58, 38]"
737,"[33, 45, 55]"
738,"[48, 50, 61]"
739,"[48, 50, 61]"
740,"[48, 50, 61]"
741,"[48, 41, 55]"
742,"[48, 41, 55]"
743,"[0, 57, 60]"
744,"[57, 53, 22]"
745,"[48, 27, 38]"
746,"[48, 34, 13]"
747,"[48, 34, 13]"
748,"[19, 38, 39]"
749,"[33, 53, 13]"
750,"[53, 62, 39]"
751,"[53, 62, 39]"
752,"[56, 27, 38]"
753,"[56, 27, 38]"
754,"[56, 27, 38]"
755,"[43, 35, 54]"
756,"[35, 29, 55]"
757,"[40, 28, 62]"
758,"[34, 60, 22]"
759,"[52, 12, 38]"
760,"[40, 13, 53]"
761,"[24, 57, 33]"
762,"[42, 61, 22]"
763,"[0, 38, 63]"
764,"[19, 54, 22]"
765,"[19, 54, 22]"
766,"[19, 54, 22]"
767,"[19, 54, 22]"
768,"[34, 35, 60]"
769,"[34, 60, 47]"
770,"[19, 54, 47]"
771,"[42, 60, 13]"
772,"[40, 61, 15]"
773,"[28, 38, 52]"
774,"[19, 35, 54]"
775,"[42, 52, 39]"
776,"[42, 52, 39]"
777,"[48, 35, 39]"
778,"[48, 35, 39]"
779,"[33, 34, 13]"
780,"[57, 50, 58]"
781,"[57, 37, 38]"
782,"[49, 54, 57]"
783,"[37, 61, 54]"
784,"[56, 17, 55]"
785,"[33, 27, 38]"
786,"[27, 58, 43]"
787,"[40, 34, 13]"
788,"[61, 27, 13]"
789,"[52, 38, 15]"
790,"[52, 38, 15]"
791,"[40, 12, 61]"
792,"[40, 12, 61]"
793,"[40, 12, 61]"
794,"[57, 34, 22]"
795,"[57, 34, 22]"
796,"[57, 34, 22]"
797,"[40, 46, 55]"
798,"[40, 46, 55]"
799,"[16, 33, 60]"
800,"[16, 33, 60]"
801,"[54, 37, 62]"
802,"[57, 42, 13]"
803,"[57, 42, 13]"
804,"[32, 33, 61]"
805,"[57, 34, 47]"
806,"[57, 34, 47]"
807,"[56, 42, 19]"
808,"[56, 42, 19]"
809,"[33, 35, 39]"
810,"[19, 53, 38]"
811,"[19, 53, 38]"
812,"[29, 60, 13]"
813,"[33, 42, 54]"
814,"[33, 42, 54]"
815,"[57, 58, 44]"
816,"[19, 58, 27]"
817,"[19, 58, 27]"
818,"[27, 13, 62]"
819,"[19, 62, 31]"
820,"[40, 50, 61]"
821,"[40, 50, 61]"
822,"[48, 57, 16]"
823,"[16, 57, 48]"
824,"[35, 38, 47]"
825,"[18, 61, 55]"
826,"[18, 61, 55]"
827,"[0, 56, 58]"
828,"[48, 59, 47]"
829,"[35, 38, 22]"
830,"[40, 35, 39]"
831,"[32, 40, 61]"
832,"[32, 40, 61]"
833,"[32, 40, 61]"
834,"[32, 33, 62]"
835,"[40, 42, 54]"
836,"[40, 42, 54]"
837,"[33, 50, 62]"
838,"[33, 50, 62]"
839,"[13, 38, 39]"
840,"[13, 38, 39]"
841,"[13, 38, 39]"
842,"[56, 38, 31]"
843,"[56, 38, 31]"
844,"[48, 43, 29]"
845,"[48, 43, 29]"
846,"[49, 55, 47]"
847,"[38, 22, 47]"
848,"[47, 38, 22]"
849,"[47, 38, 22]"
850,"[47, 38, 22]"
851,"[56, 59, 35]"
852,"[56, 35, 59]"
853,"[49, 19, 57]"
854,"[37, 19, 61]"
855,"[37, 19, 61]"
856,"[48, 26, 55]"
857,"[48, 26, 55]"
858,"[48, 26, 55]"
859,"[48, 26, 55]"
860,"[56, 58, 12]"
861,"[56, 45, 62]"
862,"[50, 52, 38]"
863,"[48, 35, 59]"
864,"[48, 19, 29]"
865,"[48, 19, 29]"
866,"[32, 40, 62]"
867,"[32, 40, 62]"
868,"[49, 58, 13]"
869,"[49, 58, 13]"
870,"[49, 58, 13]"
871,"[49, 58, 13]"
872,"[19, 37, 62]"
873,"[40, 42, 19]"
874,"[13, 54, 47]"
875,"[56, 19, 29]"
876,"[56, 19, 29]"
877,"[33, 29, 54]"
878,"[33, 29, 54]"
879,"[57, 27, 54]"
880,"[33, 59, 47]"
881,"[20, 60, 55]"
882,"[48, 46, 62]"
883,"[2, 62, 63]"
884,"[56, 26, 55]"
885,"[56, 26, 55]"
886,"[37, 13, 55]"
887,"[51, 35, 31]"
888,"[17, 33, 55]"
889,"[17, 55, 33]"
890,"[16, 57, 33]"
891,"[40, 29, 54]"
892,"[40, 29, 54]"
893,"[42, 52, 53]"
894,"[34, 19, 38]"
895,"[34, 19, 38]"
896,"[34, 53, 62]"
897,"[0, 33, 58]"
898,"[0, 33, 58]"
899,"[0, 33, 58]"
900,"[48, 33, 23]"
901,"[17, 58, 60]"
902,"[60, 54, 31]"
903,"[38, 62, 30]"
904,"[62, 38, 30]"
905,"[57, 60, 45]"
906,"[0, 48, 60]"
907,"[33, 35, 59]"
908,"[33, 35, 59]"
909,"[33, 59, 35]"
910,"[40, 43, 29]"
911,"[42, 58, 22]"
912,"[42, 59, 52]"
913,"[33, 58, 28]"
914,"[24, 33, 48]"
915,"[24, 33, 48]"
916,"[24, 33, 48]"
917,"[40, 48, 23]"
918,"[40, 48, 23]"
919,"[59, 13, 38]"
920,"[59, 13, 38]"
921,"[40, 61, 45]"
922,"[40, 45, 61]"
923,"[40, 45, 61]"
924,"[13, 62, 31]"
925,"[13, 62, 31]"
926,"[25, 19, 61]"
927,"[25, 19, 61]"
928,"[40, 59, 35]"
929,"[40, 35, 59]"
930,"[40, 17, 55]"
931,"[40, 17, 55]"
932,"[48, 34, 47]"
933,"[48, 34, 47]"
934,"[48, 34, 47]"
935,"[48, 34, 47]"
936,"[48, 34, 47]"
937,"[48, 34, 47]"
938,"[56, 37, 38]"
939,"[40, 19, 29]"
940,"[40, 19, 29]"
941,"[40, 19, 29]"
942,"[40, 19, 29]"
943,"[0, 38, 55]"
944,"[58, 38, 23]"
945,"[35, 27, 55]"
946,"[48, 34, 35]"
947,"[1, 60, 63]"
948,"[25, 19, 62]"
949,"[25, 19, 62]"
950,"[56, 34, 35]"
951,"[53, 13, 38]"
952,"[48, 42, 13]"
953,"[35, 13, 54]"
954,"[35, 13, 54]"
955,"[28, 38, 55]"
956,"[42, 60, 22]"
957,"[27, 47, 55]"
958,"[58, 27, 13]"
959,"[19, 54, 39]"
960,"[58, 19, 31]"
961,"[58, 19, 31]"
962,"[11, 52, 60]"
963,"[0, 33, 60]"
964,"[56, 49, 19]"
965,"[33, 26, 55]"
966,"[59, 60, 53]"
967,"[59, 60, 53]"
968,"[42, 35, 60]"
969,"[42, 35, 60]"
970,"[48, 57, 28]"
971,"[48, 57, 28]"
972,"[40, 33, 23]"
973,"[40, 33, 23]"
974,"[40, 33, 23]"
975,"[40, 33, 23]"
976,"[48, 17, 61]"
977,"[17, 58, 57]"
978,"[40, 34, 47]"
979,"[40, 46, 62]"
980,"[33, 42, 13]"
981,"[0, 57, 48]"
982,"[48, 57, 0]"
983,"[0, 57, 48]"
984,"[56, 57, 28]"
985,"[0, 57, 56]"
986,"[40, 34, 35]"
987,"[0, 40, 60]"
988,"[40, 28, 60]"
989,"[56, 29, 13]"
990,"[56, 29, 13]"
991,"[48, 27, 54]"
992,"[48, 27, 54]"
993,"[57, 42, 47]"
994,"[57, 42, 47]"
995,"[24, 33, 40]"
996,"[51, 36, 60]"
997,"[48, 13, 29]"
998,"[58, 59, 34]"
